                                  Package                            
abind                             "abind"                            
modeltools                        "modeltools"                       
msigdbr                           "msigdbr"                          
multcomp                          "multcomp"                         
munsell                           "munsell"                          
mvtnorm                           "mvtnorm"                          
network                           "network"                          
nlme                              "nlme"                             
nloptr                            "nloptr"                           
nnet                              "nnet"                             
nor1mix                           "nor1mix"                          
numbat                            "numbat"                           
numDeriv                          "numDeriv"                         
openssl                           "openssl"                          
optparse                          "optparse"                         
org.Hs.eg.db                      "org.Hs.eg.db"                     
OrganismDbi                       "OrganismDbi"                      
otel                              "otel"                             
pak                               "pak"                              
parallel                          "parallel"                         
parallelDist                      "parallelDist"                     
parallelly                        "parallelly"                       
patchwork                         "patchwork"                        
pbapply                           "pbapply"                          
pbkrtest                          "pbkrtest"                         
permute                           "permute"                          
phangorn                          "phangorn"                         
pheatmap                          "pheatmap"                         
phyclust                          "phyclust"                         
pillar                            "pillar"                           
pinfsc50                          "pinfsc50"                         
pkgbuild                          "pkgbuild"                         
pkgcache                          "pkgcache"                         
pkgconfig                         "pkgconfig"                        
pkgdown                           "pkgdown"                          
pkgload                           "pkgload"                          
plogr                             "plogr"                            
plotly                            "plotly"                           
plyr                              "plyr"                             
png                               "png"                              
polyclip                          "polyclip"                         
polynom                           "polynom"                          
praise                            "praise"                           
prettycode                        "prettycode"                       
prettyunits                       "prettyunits"                      
processx                          "processx"                         
profvis                           "profvis"                          
progress                          "progress"                         
progressr                         "progressr"                        
promises                          "promises"                         
pryr                              "pryr"                             
ps                                "ps"                               
purrr                             "purrr"                            
quadprog                          "quadprog"                         
quantreg                          "quantreg"                         
qvalue                            "qvalue"                           
R.methodsS3                       "R.methodsS3"                      
R.oo                              "R.oo"                             
R.utils                           "R.utils"                          
R6                                "R6"                               
ragg                              "ragg"                             
RANN                              "RANN"                             
rappdirs                          "rappdirs"                         
RBGL                              "RBGL"                             
rbibutils                         "rbibutils"                        
rcmdcheck                         "rcmdcheck"                        
RColorBrewer                      "RColorBrewer"                     
Rcpp                              "Rcpp"                             
RcppAnnoy                         "RcppAnnoy"                        
RcppArmadillo                     "RcppArmadillo"                    
RcppEigen                         "RcppEigen"                        
RcppHNSW                          "RcppHNSW"                         
RcppParallel                      "RcppParallel"                     
RcppProgress                      "RcppProgress"                     
RcppTOML                          "RcppTOML"                         
RCurl                             "RCurl"                            
Rdpack                            "Rdpack"                           
reformulas                        "reformulas"                       
rematch2                          "rematch2"                         
remotes                           "remotes"                          
reshape                           "reshape"                          
reshape2                          "reshape2"                         
restfulr                          "restfulr"                         
reticulate                        "reticulate"                       
Rgraphviz                         "Rgraphviz"                        
RhpcBLASctl                       "RhpcBLASctl"                      
Rhtslib                           "Rhtslib"                          
rjags                             "rjags"                            
rjson                             "rjson"                            
rlang                             "rlang"                            
rmarkdown                         "rmarkdown"                        
ROCR                              "ROCR"                             
roptim                            "roptim"                           
roxygen2                          "roxygen2"                         
rprojroot                         "rprojroot"                        
Rsamtools                         "Rsamtools"                        
RSpectra                          "RSpectra"                         
RSQLite                           "RSQLite"                          
rstatix                           "rstatix"                          
rstudioapi                        "rstudioapi"                       
rsvd                              "rsvd"                             
rtracklayer                       "rtracklayer"                      
Rtsne                             "Rtsne"                            
rversions                         "rversions"                        
S4Arrays                          "S4Arrays"                         
S4Vectors                         "S4Vectors"                        
S7                                "S7"                               
sandwich                          "sandwich"                         
sass                              "sass"                             
ScaledMatrix                      "ScaledMatrix"                     
scales                            "scales"                           
scalop                            "scalop"                           
scattermore                       "scattermore"                      
scatterpie                        "scatterpie"                       
SCEVAN                            "SCEVAN"                           
scistreer                         "scistreer"                        
scran                             "scran"                            
sctransform                       "sctransform"                      
scuttle                           "scuttle"                          
segmented                         "segmented"                        
selectr                           "selectr"                          
sessioninfo                       "sessioninfo"                      
Seurat                            "Seurat"                           
SeuratObject                      "SeuratObject"                     
shiny                             "shiny"                            
signal                            "signal"                           
SingleCellExperiment              "SingleCellExperiment"             
sitmo                             "sitmo"                            
sna                               "sna"                              
snow                              "snow"                             
sourcetools                       "sourcetools"                      
sp                                "sp"                               
spam                              "spam"                             
SparseArray                       "SparseArray"                      
SparseM                           "SparseM"                          
spatstat.data                     "spatstat.data"                    
spatstat.explore                  "spatstat.explore"                 
spatstat.geom                     "spatstat.geom"                    
spatstat.random                   "spatstat.random"                  
spatstat.sparse                   "spatstat.sparse"                  
spatstat.univar                   "spatstat.univar"                  
spatstat.utils                    "spatstat.utils"                   
splines                           "splines"                          
squash                            "squash"                           
statmod                           "statmod"                          
statnet.common                    "statnet.common"                   
stats                             "stats"                            
stats4                            "stats4"                           
stringi                           "stringi"                          
stringr                           "stringr"                          
SummarizedExperiment              "SummarizedExperiment"             
survival                          "survival"                         
sys                               "sys"                              
systemfonts                       "systemfonts"                      
tcltk                             "tcltk"                            
tensor                            "tensor"                           
testthat                          "testthat"                         
textshaping                       "textshaping"                      
TH.data                           "TH.data"                          
tibble                            "tibble"                           
tidygraph                         "tidygraph"                        
tidyr                             "tidyr"                            
tidyselect                        "tidyselect"                       
tidytree                          "tidytree"                         
timeDate                          "timeDate"                         
tinytex                           "tinytex"                          
tools                             "tools"                            
treeio                            "treeio"                           
tweenr                            "tweenr"                           
TxDb.Hsapiens.UCSC.hg19.knownGene "TxDb.Hsapiens.UCSC.hg19.knownGene"
TxDb.Hsapiens.UCSC.hg38.knownGene "TxDb.Hsapiens.UCSC.hg38.knownGene"
txdbmaker                         "txdbmaker"                        
UCSC.utils                        "UCSC.utils"                       
urca                              "urca"                             
urlchecker                        "urlchecker"                       
usethis                           "usethis"                          
utf8                              "utf8"                             
utils                             "utils"                            
uwot                              "uwot"                             
vcfR                              "vcfR"                             
vctrs                             "vctrs"                            
vegan                             "vegan"                            
viridis                           "viridis"                          
viridisLite                       "viridisLite"                      
waldo                             "waldo"                            
whisker                           "whisker"                          
withr                             "withr"                            
xfun                              "xfun"                             
XML                               "XML"                              
xml2                              "xml2"                             
xopen                             "xopen"                            
xtable                            "xtable"                           
XVector                           "XVector"                          
yaGST                             "yaGST"                            
yaml                              "yaml"                             
yulab.utils                       "yulab.utils"                      
zeallot                           "zeallot"                          
zip                               "zip"                              
zlibbioc                          "zlibbioc"                         
zoo                               "zoo"                              
                                  Version     
abind                             "1.4-8"     
annotate                          "1.84.0"    
AnnotationDbi                     "1.68.0"    
AnnotationForge                   "1.48.0"    
ape                               "5.8-1"     
aplot                             "0.2.9"     
argparse                          "2.3.1"     
askpass                           "1.2.1"     
assertthat                        "0.2.1"     
assorthead                        "1.0.0"     
babelgene                         "22.9"      
backports                         "1.5.1"     
base                              "4.4.3"     
base64enc                         "0.1-6"     
beachmat                          "2.22.0"    
beanplot                          "1.3.1"     
BH                                "1.90.0-1"  
Biobase                           "2.66.0"    
BiocFileCache                     "2.14.0"    
BiocGenerics                      "0.52.0"    
BiocIO                            "1.16.0"    
BiocManager                       "1.30.27"   
BiocNeighbors                     "2.0.0"     
BiocParallel                      "1.40.0"    
BiocSingular                      "1.22.0"    
biomaRt                           "2.62.0"    
Biostrings                        "2.74.0"    
bit                               "4.6.0"     
bit64                             "4.8.0"     
bitops                            "1.0-9"     
blob                              "1.3.0"     
bluster                           "1.16.0"    
boot                              "1.3-32"    
brew                              "1.0-10"    
brio                              "1.1.5"     
broom                             "1.0.12"    
BSgenome                          "1.74.0"    
BSgenome.Hsapiens.UCSC.hg19       "1.4.3"     
bslib                             "0.10.0"    
cachem                            "1.1.0"     
callr                             "3.7.6"     
car                               "3.1-5"     
carData                           "3.0-6"     
CaSpER                            "0.2.0"     
Category                          "2.72.0"    
caTools                           "1.18.3"    
cli                               "3.6.6"     
cliapp                            "0.1.2"     
clipr                             "0.8.0"     
cluster                           "2.1.8.2"   
clusterProfiler                   "4.14.0"    
coda                              "0.19-4.1"  
codetools                         "0.2-20"    
coin                              "1.4-3"     
colorspace                        "2.1-2"     
commonmark                        "2.0.0"     
compiler                          "4.4.3"     
CONICSmat                         "0.0.0.1"   
copykat                           "1.1.0"     
corrplot                          "0.95"      
cowplot                           "1.2.0"     
cpp11                             "0.5.4"     
crayon                            "1.5.3"     
credentials                       "2.0.3"     
crosstalk                         "1.2.2"     
curl                              "7.1.0"     
data.table                        "1.18.2.1"  
datasets                          "4.4.3"     
DBI                               "1.3.0"     
dbplyr                            "2.5.2"     
DelayedArray                      "0.32.0"    
deldir                            "2.0-4"     
dendextend                        "1.19.1"    
Deriv                             "4.2.0"     
desc                              "1.4.3"     
devtools                          "2.5.1"     
diffobj                           "0.3.6"     
digest                            "0.6.39"    
dlm                               "1.1-6.1"   
doBy                              "4.7.1"     
doParallel                        "1.0.17"    
DOSE                              "4.0.0"     
dotCall64                         "1.2"       
downlit                           "0.4.5"     
dplyr                             "1.2.1"     
dqrng                             "0.3.2"     
edgeR                             "4.4.0"     
ellipsis                          "0.3.3"     
enrichplot                        "1.26.1"    
evaluate                          "1.0.5"     
fansi                             "1.0.7"     
farver                            "2.1.2"     
fastcluster                       "1.3.0"     
fastDummies                       "1.7.6"     
fastmap                           "1.2.0"     
fastmatch                         "1.1-8"     
fgsea                             "1.32.2"    
filelock                          "1.0.3"     
findpython                        "1.0.9"     
fitdistrplus                      "1.2-6"     
FNN                               "1.1.4.1"   
fontawesome                       "0.5.3"     
forcats                           "1.0.1"     
foreach                           "1.5.2"     
forecast                          "9.0.2"     
formatR                           "1.14"      
Formula                           "1.2-5"     
fracdiff                          "1.5-4"     
fs                                "2.1.0"     
futile.logger                     "1.4.9"     
futile.options                    "1.0.1"     
future                            "1.70.0"    
future.apply                      "1.20.2"    
genefilter                        "1.88.0"    
generics                          "0.1.4"     
GenomeInfoDb                      "1.42.0"    
GenomeInfoDbData                  "1.2.13"    
GenomicAlignments                 "1.42.0"    
GenomicFeatures                   "1.58.0"    
GenomicRanges                     "1.58.0"    
gert                              "2.3.1"     
getopt                            "1.20.4"    
ggforce                           "0.5.0"     
ggfun                             "0.2.0"     
ggnetwork                         "0.5.14"    
ggnewscale                        "0.5.2"     
ggplot2                           "4.0.3"     
ggplotify                         "0.1.3"     
ggpubr                            "0.6.3"     
ggraph                            "2.2.2"     
ggrepel                           "0.9.8"     
ggridges                          "0.5.7"     
ggsci                             "5.0.0"     
ggsignif                          "0.6.4"     
ggtangle                          "0.1.2"     
ggtree                            "3.14.0"    
gh                                "1.5.0"     
gitcreds                          "0.1.2"     
globals                           "0.19.1"    
glue                              "1.8.1"     
GO.db                             "3.20.0"    
goftest                           "1.2-3"     
GOSemSim                          "2.32.0"    
GOstats                           "2.72.0"    
gplots                            "3.3.0"     
graph                             "1.84.0"    
graphics                          "4.4.3"     
graphlayouts                      "1.2.3"     
grDevices                         "4.4.3"     
grid                              "4.4.3"     
gridExtra                         "2.3"       
gridGraphics                      "0.5-1"     
GSEABase                          "1.68.0"    
gson                              "0.1.0"     
gtable                            "0.3.6"     
gtools                            "3.9.5"     
hahmmr                            "1.0.0"     
here                              "1.0.2"     
hexbin                            "1.28.5"    
HiddenMarkov                      "1.8-14"    
highr                             "0.12"      
hms                               "1.1.4"     
Homo.sapiens                      "1.3.1"     
hrbrthemes                        "0.9.3"     
htmltools                         "0.5.9"     
htmlwidgets                       "1.6.4"     
httpuv                            "1.6.17"    
httr                              "1.4.8"     
httr2                             "1.2.2"     
ica                               "1.0-3"     
igraph                            "2.3.0"     
infercna                          "1.0.0"     
infercnv                          "1.22.0"    
ini                               "0.3.1"     
intergraph                        "2.0-4"     
IRanges                           "2.40.0"    
irlba                             "2.3.7"     
isoband                           "0.3.0"     
iterators                         "1.0.14"    
jquerylib                         "0.1.4"     
jsonlite                          "2.0.0"     
KEGGREST                          "1.46.0"    
kernlab                           "0.9-33"    
KernSmooth                        "2.23-26"   
knitr                             "1.51"      
labeling                          "0.4.3"     
lambda.r                          "1.2.4"     
later                             "1.4.8"     
lattice                           "0.22-9"    
lazyeval                          "0.2.3"     
leidenbase                        "0.1.36"    
libcoin                           "1.0-12"    
lifecycle                         "1.0.5"     
limma                             "3.62.1"    
listenv                           "0.10.1"    
lme4                              "2.0-1"     
lmtest                            "0.9-40"    
lobstr                            "1.2.1"     
locfit                            "1.5-9.12"  
logger                            "0.4.1"     
lpSolve                           "5.6.23"    
magrittr                          "2.0.5"     
MASS                              "7.3-65"    
Matrix                            "1.7-5"     
MatrixGenerics                    "1.18.0"    
MatrixModels                      "0.5-4"     
matrixStats                       "1.5.0"     
mclust                            "6.1.2"     
mcmc                              "0.9-8"     
MCMCpack                          "1.7-1"     
memoise                           "2.0.1"     
memuse                            "4.2-3"     
metapod                           "1.14.0"    
methods                           "4.4.3"     
mgcv                              "1.9-4"     
microbenchmark                    "1.5.0"     
mime                              "0.13"      
miniUI                            "0.1.2"     
minqa                             "1.2.8"     
mixtools                          "2.0.0.1"   
modelr                            "0.1.11"    
modeltools                        "0.2-24"    
msigdbr                           "26.1.0"    
multcomp                          "1.4-30"    
munsell                           "0.5.1"     
mvtnorm                           "1.3-7"     
network                           "1.20.0"    
nlme                              "3.1-169"   
nloptr                            "2.2.1"     
nnet                              "7.3-20"    
nor1mix                           "1.3-3"     
numbat                            "1.5.2"     
numDeriv                          "2016.8-1.1"
openssl                           "2.4.0"     
optparse                          "1.8.2"     
org.Hs.eg.db                      "3.20.0"    
OrganismDbi                       "1.48.0"    
otel                              "0.2.0"     
pak                               "0.9.4"     
parallel                          "4.4.3"     
parallelDist                      "0.2.7"     
parallelly                        "1.47.0"    
patchwork                         "1.3.2"     
pbapply                           "1.7-4"     
pbkrtest                          "0.5.5"     
permute                           "0.9-10"    
phangorn                          "2.12.1"    
pheatmap                          "1.0.13"    
phyclust                          "0.1-34"    
pillar                            "1.11.1"    
pinfsc50                          "1.3.0"     
pkgbuild                          "1.4.8"     
pkgcache                          "2.2.4"     
pkgconfig                         "2.0.3"     
pkgdown                           "2.2.0"     
pkgload                           "1.5.2"     
plogr                             "0.2.0"     
plotly                            "4.12.0"    
plyr                              "1.8.9"     
png                               "0.1-9"     
polyclip                          "1.10-7"    
polynom                           "1.4-1"     
praise                            "1.0.0"     
prettycode                        "1.1.0"     
prettyunits                       "1.2.0"     
processx                          "3.9.0"     
profvis                           "0.4.0"     
progress                          "1.2.3"     
progressr                         "0.19.0"    
promises                          "1.5.0"     
pryr                              "0.1.6"     
ps                                "1.9.3"     
purrr                             "1.2.2"     
quadprog                          "1.5-8"     
quantreg                          "6.1"       
qvalue                            "2.38.0"    
R.methodsS3                       "1.8.2"     
R.oo                              "1.27.1"    
R.utils                           "2.13.0"    
R6                                "2.6.1"     
ragg                              "1.5.2"     
RANN                              "2.6.2"     
rappdirs                          "0.3.4"     
RBGL                              "1.82.0"    
rbibutils                         "2.4.1"     
rcmdcheck                         "1.4.0"     
RColorBrewer                      "1.1-3"     
Rcpp                              "1.1.1-1.1" 
RcppAnnoy                         "0.0.23"    
RcppArmadillo                     "15.2.6-1"  
RcppEigen                         "0.3.4.0.2" 
RcppHNSW                          "0.6.0"     
RcppParallel                      "5.1.11-2"  
RcppProgress                      "0.4.2"     
RcppTOML                          "0.2.3"     
RCurl                             "1.98-1.18" 
Rdpack                            "2.6.6"     
reformulas                        "0.4.4"     
rematch2                          "2.1.2"     
remotes                           "2.5.0"     
reshape                           "0.8.10"    
reshape2                          "1.4.5"     
restfulr                          "0.0.16"    
reticulate                        "1.46.0"    
Rgraphviz                         "2.50.0"    
RhpcBLASctl                       "0.23-42"   
Rhtslib                           "3.2.0"     
rjags                             "4-17"      
rjson                             "0.2.23"    
rlang                             "1.2.0"     
rmarkdown                         "2.31"      
ROCR                              "1.0-12"    
roptim                            "0.1.7"     
roxygen2                          "7.3.3"     
rprojroot                         "2.1.1"     
Rsamtools                         "2.22.0"    
RSpectra                          "0.16-2"    
RSQLite                           "2.4.6"     
rstatix                           "0.7.3"     
rstudioapi                        "0.18.0"    
rsvd                              "1.0.5"     
rtracklayer                       "1.66.0"    
Rtsne                             "0.17"      
rversions                         "3.0.0"     
S4Arrays                          "1.6.0"     
S4Vectors                         "0.44.0"    
S7                                "0.2.2"     
sandwich                          "3.1-1"     
sass                              "0.4.10"    
ScaledMatrix                      "1.14.0"    
scales                            "1.4.0"     
scalop                            "1.1.0"     
scattermore                       "1.2"       
scatterpie                        "0.2.6"     
SCEVAN                            "1.0.3"     
scistreer                         "1.2.0"     
scran                             "1.34.0"    
sctransform                       "0.4.3"     
scuttle                           "1.16.0"    
segmented                         "2.2-1"     
selectr                           "0.5-1"     
sessioninfo                       "1.2.3"     
Seurat                            "5.5.0"     
SeuratObject                      "5.4.0"     
shiny                             "1.13.0"    
signal                            "1.8-1"     
SingleCellExperiment              "1.28.0"    
sitmo                             "2.0.2"     
sna                               "2.8"       
snow                              "0.4-4"     
sourcetools                       "0.1.7-2"   
sp                                "2.2-1"     
spam                              "2.11-3"    
SparseArray                       "1.6.0"     
SparseM                           "1.84-2"    
spatstat.data                     "3.1-9"     
spatstat.explore                  "3.8-0"     
spatstat.geom                     "3.7-3"     
spatstat.random                   "3.4-5"     
spatstat.sparse                   "3.1-0"     
spatstat.univar                   "3.1-7"     
spatstat.utils                    "3.2-2"     
splines                           "4.4.3"     
squash                            "1.0.9"     
statmod                           "1.5.1"     
statnet.common                    "4.13.0"    
stats                             "4.4.3"     
stats4                            "4.4.3"     
stringi                           "1.8.7"     
stringr                           "1.6.0"     
SummarizedExperiment              "1.36.0"    
survival                          "3.8-6"     
sys                               "3.4.3"     
systemfonts                       "1.3.2"     
tcltk                             "4.4.3"     
tensor                            "1.5.1"     
testthat                          "3.3.2"     
textshaping                       "1.0.5"     
TH.data                           "1.1-5"     
tibble                            "3.3.1"     
tidygraph                         "1.3.0"     
tidyr                             "1.3.2"     
tidyselect                        "1.2.1"     
tidytree                          "0.4.7"     
timeDate                          "4052.112"  
tinytex                           "0.59"      
tools                             "4.4.3"     
treeio                            "1.30.0"    
tweenr                            "2.0.3"     
TxDb.Hsapiens.UCSC.hg19.knownGene "3.2.2"     
TxDb.Hsapiens.UCSC.hg38.knownGene "3.20.0"    
txdbmaker                         "1.2.0"     
UCSC.utils                        "1.2.0"     
urca                              "1.3-4"     
urlchecker                        "1.0.1"     
usethis                           "3.2.1"     
utf8                              "1.2.6"     
utils                             "4.4.3"     
uwot                              "0.2.4"     
vcfR                              "1.16.0"    
vctrs                             "0.7.3"     
vegan                             "2.7-3"     
viridis                           "0.6.5"     
viridisLite                       "0.4.3"     
waldo                             "0.6.2"     
whisker                           "0.4.1"     
withr                             "3.0.2"     
xfun                              "0.57"      
XML                               "3.99-0.23" 
xml2                              "1.5.2"     
xopen                             "1.0.1"     
xtable                            "1.8-8"     
XVector                           "0.46.0"    
yaGST                             "2017.08.25"
yaml                              "2.3.12"    
yulab.utils                       "0.2.4"     
zeallot                           "0.2.0"     
zip                               "2.3.3"     
zlibbioc                          "1.52.0"    
zoo                               "1.8-15"    
